,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N°,Fecha de Verificacion,Número de PERMISO otorgado por la CRE,Número de Estacion,Razón Social,ESTADO,MUNCIPIO,TOTAL DE INSTUMENTOS (MANGUERAS) VERIFICADOS,TOTAL DE INSTUMENTOS (MANGUERAS) INMOVILIZADOS,CAUSAS DE INMOVILIZACION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dirección,Colonia,Código Postal,
355,1/20/23,PL/3483/EXP/ES/2015,11281,HIDROCARBUROS ALOMAN. S. A. DE C. V.,PUEBLA,PUEBLA,14,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAMINO A TLALTEPANGO NO. 10804,VENUSTIANO CARRANZA,72200,
356,1/20/23,PL/4951/EXP/ES/2015,12096,ESTACIÓN DE SERVICIO LA HARINERA. S. A. DE C. V.,PUEBLA,PUEBLA,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROLONGACION HEROES DE NACOZARI NO.8002 LOCAL A,ZONA INDUSTRIAL ANEXA A LA LOMA,72230,
357,1/20/23,PL/10002/EXP/ES/2015,9275,OPERADORA HB. S. A. DE C. V.,VERACRUZ DE IGNACIO DE LA LLAVE,MEDELLÍN,16,6,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,CALZADA DE LAS TORRES LOTES 1.3. Y 9,FRACC.PUENTE MORENO,94272,
358,1/20/23,PL/7663/EXP/ES/2015,1003,SERVICIO SOTRES ESTANDIA. S. A. DE C. V.,VERACRUZ DE IGNACIO DE LA LLAVE,TLALIXCOYAN,8,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA MATA ESPINO-PIEDRAS NEGRAS KM 19.5,SIN COLONIA,95222,
359,1/20/23,PL/7182/EXP/ES/2015,5348,ESTACIÓN DE SERVICIO EL LLANO. S. A. DE C. V.,VERACRUZ DE IGNACIO DE LA LLAVE,CATEMACO,10,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROL BL VENUSTIANO CARRANZA N S/N,TIOTIN,95870,
360,1/20/23,PL/2195/EXP/ES/2015,10582,COMBUCENTER. S. DE R. L. DE C. V.,QUERÉTARO,QUERÉTARO,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVENIDA 5 DE FEBRERO NO. 288,FRACCIONAMIENTO INDUSTRIAL,76120,
361,1/20/23,PL/2630/EXP/ES/2015,12225,DIGEPE. S. A. DE C. V.,QUERÉTARO,QUERÉTARO,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROLONGACIÓN TECNOLÓGICO NO. 999,SAN PABLO,76125,
362,1/20/23,PL/19279/EXP/ES/2016,13033,SERVICIOS ENERGÉTICOS DE QUERÉTARO. S. A. DE C. V.,QUERÉTARO,QUERÉTARO,20,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOULEVARD BERNARDO QUINTANA NO. 648,DESARROLLO HABITACIONAL SAN PABLO,75125,
363,1/20/23,PL/2634/EXP/ES/2015,12305,DIGEPE. S. A. DE C. V.,QUERÉTARO,QUERÉTARO,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA ESTATAL NO. 40. ANILLO VIAL JUNIPERO SERRA NO. 8250-A, ,76147,
364,1/20/23,PL/22820/EXP/ES/2019,FF,GASOLINERÍA CORAL. S. A. DE C. V.,CIUDAD DE MÉXICO,ÁLVARO OBREGÓN,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVENIDA TOLUCA. NO. 400,OLIVAR DE LOS PADRES,1700,
365,1/20/23,PL/1791/EXP/ES/2015,7151,SERVICIO 2M. S. A. DE C. V.,CIUDAD DE MÉXICO,TLALPAN,24,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RINCONDA DE URANIO NO. 1 Y 17,LOMAS DEL PEDREGAL,14150,
366,1/20/23,PL/22422/EXP/ES/2019,SN,SERVICIO PLATEROS. S. A. DE C. V.,CIUDAD DE MÉXICO,ÁLVARO OBREGÓN,30,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVENIDA CENTENARIO NO. 985,CANUTILLO 2A SECCIÓN,1560,
367,1/20/23,PL/20121/EXP/ES/2017,SN,SOLUCIONES P&L. S. A. P. I. DE C. V.,CIUDAD DE MÉXICO,ÁLVARO OBREGÓN,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOULEVARD ADOLFO LOPEZ MATEOS NO.2173,LOS ALPES,1710,
368,1/21/23,PL/10249/EXP/ES/2015,1084,ALEJANDRO GONZÁLEZ CIPRES,MICHOACAN DE OCAMPO,PURÉPERO,6,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KM. 63.3 CARRT. LA PIEDAD-CARAPAN,CENTRO,58760,
369,1/21/23,PL/3056/EXP/ES/2015,11213,SÚPER SERVICIOS ALMARAIL. S. A. DE C. V.,MICHOACAN DE OCAMPO,ZAMORA,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA ZAMORA-MORELIA NO.1215,CHAPARACO,59699,
370,1/21/23,PL/6737/EXP/ES/2015,10743,GASOLINERA CURUTARAN. S. A. DE C. V.,MICHOACAN DE OCAMPO,JACONA,32,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA FEDERAL LIBRE JACONA LOS REYES NO 2,REVOLUCION,59800,
371,1/22/23,PL/19971/EXP/ES/2017,13299,GASOLINERIA SAN JUAN PABLO SEGUNDO. S. A. DE C. V.,JALISCO,TONALÁ,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CALLE CAMINO AL VADO NO. 575,LOS AMIALES ,45400,
372,1/22/23,PL/8148/EXP/ES/2015,6060,AUTOSERVICIO GASHR. S. A. DE C. V.,JALISCO,TONALÁ,26,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AUTOPISTA ZAPOTLANEJO KM 19.3 # 1040,LOS AMIALES,45422,
373,1/22/23,PL/10717/EXP/ES/2015,3533,GRUPO CASAL. S. A. DE C. V.,JALISCO,TLAQUEPAQUE,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KM.7.5 CARR.FED.NO.80 GUADALAJARA-ZAPOTLANEJO,TATEPOSCO,48525,
374,1/21/23,PL/19140/EXP/ES/2016,13027,MEGA GASOLINERAS. S. A. DE C. V.,GUANAJUATO,LEÓN,25,10,0,0,0,0.00,0.00,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOULEVARD JUAN JOSE TORRES LANDA #5404,CAMPO VERDE,37434,
375,1/21/23,PL/20042/EXP/ES/2017,SN,MEGA GASOLINERAS. S. A. DE C. V.,GUANAJUATO,SAN FRANCISCO DEL RINCÓN,22,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA SAN FRANCISCO-LEÓN KM 5,BUENA VISTA,36450,
376,1/21/23,PL/20410/EXP/ES/2017,13460,TOPGAS J ORTIZ. S. A. DE C. V.,GUANAJUATO,SAN FRANCISCO DEL RINCÓN,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOULEVARD JOSEFA ORTIZ DE DOMÍNGUEZ NO. 754 NTE LÁZARO CÁRDENAS, ,36452,
377,1/22/23,PL/8239/EXP/ES/2015,8657,HIDROSINA PLUS. S. A. P. I. DE C. V.,GUANAJUATO,LEÓN,4,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLVD. JUAN ALONSO DE TORRES 3702,FRACC. SAN CAYETANO DE MEDINA,37235,
378,1/22/23,PL/2890/EXP/ES/2015,11008,GASOLINERA FRANCISCO VILLA NORTE. S. A. DE C. V.,GUANAJUATO,LEÓN,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLVD. FRANCISCO VILLA NORTE NO.4301,LEON 1,37235,
379,1/22/23,PL/2556/EXP/ES/2015,4329,CENTAURO MOTOR. S. A. DE C. V.,GUANAJUATO,LEÓN,22,2,0,0,0,0.00,0.00,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOULEVARD JOSÉ MARÍA MORELOS NO. 2702,PRADO HERMOSO,37238,
380,1/21/23,PL/1800/EXP/ES/2015,9868,SERVICIO GRUPO TEPEYAC. S. A. DE C. V.,GUANAJUATO,CELAYA,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. EL SAUZ NO.1501,LOS PINOS,38020,
381,1/21/23,PL/2649/EXP/ES/2015,9862,SERVICIO GASOLINERO VILLAS DE IRAPUATO. S. A. DE C. V.,GUANAJUATO,IRAPUATO,14,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLVD.  A VILLAS NO. 2839,EJIDO SAN JOSÉ DE JORGE LÓPEZ,36670,
382,1/21/23,PL/4863/EXP/ES/2015,8652,SERVICIO LLENALO. S. A. DE C. V.,GUANAJUATO,IRAPUATO,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAZARO CARDENAS 4624,RESIDENCIAL CAMPESTRE,36698,
383,1/22/23,PL/5347/EXP/ES/2015,3294,GAS SAN AMARO. S. A. DE C. V.,GUANAJUATO,CELAYA,14,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV LAZARO CARDENAS ESQ. NOCHE BUENA NO.701,LAS FLORES,38090,
384,1/22/23,PL/21373/EXP/ES/2018,13601,SERVICIOS DIVERSOS DEL CENTRO. S. A. DE C. V.,GUANAJUATO,CELAYA,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CALLE SALVADOR ORTEGA NO. 1896 - A FRACCIÓN C,EX HACIENDA DON GU,38020,
385,1/21/23,PL/5389/EXP/ES/2015,9987,MA. CRUZ MEDEL GARCÍA,TLAXCALA,NATÍVITAS,10,6,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,AVENIDA XICOHTENCATL # 111,SAN RAFAEL TENANYECAC,90718,
386,1/21/23,PL/3730/EXP/ES/2015,9346,ESTACIÓN DE SERVICIO SAN JERÓNIMO. S. A. DE C. V.,PUEBLA,HUEJOTZINGO,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA FEDERAL MEXICO - PUEBLA KM. 80.792,S/C,74160,
387,1/21/23,PL/3549/EXP/ES/2015,277,NACIONAL DE COMBUSTIBLES Y LUBRICANTES. S. A. DE C. V.,MEXICO,TLALMANALCO,14,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MORELOS NO. 10,CENTRO,56700,
388,1/22/23,PL/10952/EXP/ES/2015,9809,OPEDEC DE MÉXICO S. A. DE C. V.,TLAXCALA,APIZACO,10,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA APIZACO - HUAMANTLA KM. 15.5,SANTA MARIA TEXCALAC,90402,
389,1/22/23,PL/8215/EXP/ES/2015,787,SERVICIO LA VIA BAPJE. S. A. DE C. V.,TLAXCALA,APIZACO,22,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16 DE SEPTIEMBRE 1200,CENTRO,90300,
390,1/22/23,PL/5381/EXP/ES/2015,12564,HIDROCARBUROS SAN MIGUEL. S. A. DE C. V.,TLAXCALA,NATÍVITAS,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. 16 DE SEPTIEMBRE NO. 83,SAN MIGUEL XOCHITECATITLA,90720,
391,1/21/23,PL/3572/EXP/ES/2015,3955,SÚPER SERVICIO HUEYAPAN. S. A. DE C. V.,VERACRUZ DE IGNACIO DE LA LLAVE,HUEYAPAN DE OCAMPO,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRT. COSTERA DEL GOLFO KM 185,SIN COLONIA,95850,
392,1/21/23,PL/6794/EXP/ES/2015,10801,SERVICIO GASOLINERO EXPRESS LA LLAVE. S. A. DE C. V.,VERACRUZ DE IGNACIO DE LA LLAVE,SOCONUSCO,22,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA FEDERAL COATZACOALCOS - SALINA CRUZ KM. 59 800 S/N,S/C,96170,
393,1/21/23,PL/6200/EXP/ES/2015,3242,SERVICIO OTEAPAN. S. A. DE C. V.,VERACRUZ DE IGNACIO DE LA LLAVE,OTEAPAN,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA TRANSISTMICA COSOLEACAQUE -JALTIPAN KM34,OTEAPAN,96330,
394,1/22/23,PL/2768/EXP/ES/2015,12035,SERVICIO REGIO SIETE. S. A. DE C. V.,VERACRUZ DE IGNACIO DE LA LLAVE,MINATITLÁN,8,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CALLE DANTE RANAURO DELGADO NO. 34. INSURGENTES NORTE MINATITLÁN,SIN COLONIA,96710,
395,1/22/23,PL/5535/EXP/ES/2015,6079,AUTOSERVICIOS PETROLEROS Y COMERCIALES DEL GOLFO. S. A. DE C. V.,VERACRUZ DE IGNACIO DE LA LLAVE,COATZACOALCOS,8,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVE. MALECON COSTERO NO 1315 ESQ. PLATON SANCHEZ,MARIA DE LA PIEDAD,96410,
396,1/21/23,PL/2946/EXP/ES/2015,12131,SERVICIOS TLACOTE LA JOYA. S. A. DE C. V.,QUERÉTARO,QUERÉTARO,26,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LIBRAMIENTO SUR PONIENTE KM.23748,SIN COLONIA,76235,
397,1/21/23,PL/4130/EXP/ES/2015,7982,VANIB DE QUERÉTARO. S. A. DE C. V.,QUERÉTARO,QUERÉTARO,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOULEVARD BERNARDO QUINTANA #4607,FRACCIONAMIENTO SAN PABLO,76125,
398,1/21/23,PL/22153/EXP/ES/2019,SN,MEGA GASOLINERAS. S. A. DE C. V.,GUANAJUATO,SANTA CRUZ DE JUVENTINO ROSAS,16,3,0,0,2,6.50,0.00,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,CARRETERA QUERÉTARO - LEÓN KM 66 + 350 FRENTE A LA COMUNIDAD DE SAN JOSÉ DE MERINO,S/C,38255,
399,1/22/23,PL/20069/EXP/ES/2017,13174,SERVICIO LA SOLEDAD. S. A. DE C. V.,GUANAJUATO,SAN JOSÉ ITURBIDE,10,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA SAN JOSÉ ITURBIDE-DOCTOR MORA KM 10.3,LA SOLEDAD DE ARRIBA,37980,
400,1/22/23,PL/20964/EXP/ES/2018,SN,MEGA GASOLINERAS. S. A. DE C. V.,GUANAJUATO,SAN JOSÉ ITURBIDE,18,1,0,0,1,6.28,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOULEVARD JUAN JOSÉ TORRES LANDA NO. 17,LAS ÁNIMAS,37997,
401,1/22/23,PL/2172/EXP/ES/2015,7504,SERVICIO LA HUERTA DE SAN JOSÉ. S. A. DE C. V.,GUANAJUATO,SAN JOSÉ ITURBIDE,20,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KM 1.8 ENTRONQUE A CARR. 57 S/N,LA HUERTA,37980,
402,1/21/23,PL/9051/EXP/ES/2015,9186,SERVICIO CASTAÑO. S. A. DE C. V.,MEXICO,NICOLÁS ROMERO,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOULEVARD ARTURO MONTIEL ROJAS NO. 2 ESQ. GUADALUPE VICTORIA,INDEPENDENCIA,54409,
403,1/21/23,PL/5297/EXP/ES/2015,8290,SERVICIO PEINADOR. S. A. DE C. V.,MEXICO,NICOLÁS ROMERO,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOULEVARD ARTURO MONTIEL ROJAS NO. 1201,VISTA HERMOSA,54414,
404,1/22/23,PL/697/EXP/ES/2015,10225,GASOLINERIA MONTE BLANCO. S. A. DE C. V.,MEXICO,COACALCO DE BERRIOZÁBAL,26,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VIALIDAD MEXIQUENSE NÚMERO 87,SAN FRANCISCO,55700,
405,1/22/23,PL/1502/EXP/ES/2015,7188,AUTOSERVICIO MASGASOLINA. S. A. DE C. V.,MEXICO,TULTITLÁN,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. INDEPENDENCIO NO. 112,LOS REYES,54900,
406,1/23/23,PL/13715/EXP/ES/2016,12875,SERVICIO GASOLINERO SANTA TERESA. S. A. DE C. V.,JALISCO,ZAPOTLANEJO,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROLONGACION HIDALGO # 486,EL ZAPOTE ,45430,
407,1/23/23,PL/10226/EXP/ES/2015,1630,SERVICIO CASTILLO. S. A. DE C. V.,JALISCO,ZAPOTLANEJO,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV HIDALGO N 393,SAGRADO CORAZON,45430,
408,1/23/23,PL/452/EXP/ES/2015,7943,PETROMAX. S. A. DE C. V.,JALISCO,TONALÁ,16,4,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,LAS TORRES NO. 55,SANTA CRUZ DE LAS HUERTA,44130,
409,1/23/23,PL/10000/EXP/ES/2015,4545,SERVICIO DELTA. S. A. DE C. V.,GUANAJUATO,LEÓN,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLVD. AEROPUERTO 312,INDUSTRIAL DELTA,37680,
410,1/23/23,PL/1123/EXP/ES/2015,9311,GASOLINERIA VILLAS JEMI. S. A. DE C. V.,GUANAJUATO,LEÓN,20,2,0,0,0,0.00,0.00,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLVD. LA LUZ 5801,SAN NICOLÁS DE LOS GONZALEZ,37670,
411,1/23/23,PL/9107/EXP/ES/2015,8922,SERVICIOS GASOLINEROS DE MÉXICO. S. A. DE C. V.,GUANAJUATO,LEÓN,24,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLVD. AEROPUERTO KM. 3.5 NO. 860,SAN JOSE EL ALTO,37530,
412,1/23/23,PL/2572/EXP/ES/2015,12599,GRUPO GASOLINERO BUGATTI. S. A. DE C. V.,GUANAJUATO,CELAYA,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRT. CELAYA SAN MIGUEL DE ALLENDE KM.5+5.20,TENERÍA DEL SANTUARIO,38120,
413,1/23/23,PL/20963/EXP/ES/2018,SN,MEGA GASOLINERAS. S. A. DE C. V.,GUANAJUATO,CELAYA,16,6,0,0,0,0.00,0.00,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EJE VIAL LUIS DONALDO COLOSIO NO. 169,MAGNO,36259,
414,1/23/23,PL/10245/EXP/ES/2015,8102,SUPERSERVICIO SAETA. S. A. DE C. V.,TLAXCALA,APIZACO,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LIBRAMIENTO LA Y GRIEGA HUAMANTLA KM  5  S/N,SANTA ANITA HUILOAC,90407,
415,1/23/23,PL/8238/EXP/ES/2015,10501,LUZ HAYDEE RODRÍGUEZ MENA,TLAXCALA,TOTOLAC,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TREBOL # 2,CHAMIZAL,90160,
416,1/23/23,PL/9509/EXP/ES/2015,849,SERVICIOS TLAXCALA. S. A.,TLAXCALA,TLAXCALA,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KM. 1 + 300 CARRETERA PUEBLA-TLAXCALA,OCOTLAN,90000,
417,1/23/23,PL/4070/EXP/ES/2015,7127,MARÍA VICTORIA VAZQUEZ TABOADA,TABASCO,CÁRDENAS,20,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA FEDERAL COATZACOALCOS A CARDENAS MARGEN DERECHO KILOMETRO 120,RIO SECO 1A SECCION,86470,
418,1/23/23,PL/6616/EXP/ES/2015,6228,SERVICIO TULIPAN. S. A. DE C. V.,TABASCO,CUNDUACÁN,10,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRT. CARDENAS-COMALCALCO KM 21,R/A RIO SECO 2DA SECCION,86680,
419,1/23/23,PL/1068/EXP/ES/2015,11553,NX LA PAZ. S. A. DE C. V.,GUANAJUATO,SAN LUIS DE LA PAZ,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA  QUERÉTARO-SAN LUIS POTOSI KM. 87.740,SIN COLONIA,37900,
420,1/23/23,PL/21276/EXP/ES/2018,SN,MEGA GASOLINERAS. S. A. DE C. V.,GUANAJUATO,SAN LUIS DE LA PAZ,16,1,0,0,1,7.06,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA SAN LUIS DE LA PAZ - SAN JOSÉ ITURBIDE KM 0 + 224 MARGEN DERECHO,BENITO JUÁREZ,37905,
421,1/23/23,PL/574/EXP/ES/2015,4799,PETROMAX. S. A. DE C. V.,MEXICO,ECATEPEC DE MORELOS,24,4,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,AV. VIA MORELOS # 322-A. ,JARDINES DE SANTA CLARA,55450,
422,1/23/23,PL/11479/EXP/ES/2015,6576,SERVICIO LOS CUES. S. A. DE C. V.,MEXICO,ECATEPEC DE MORELOS,14,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. CENTRAL NO. 225,EX RANCHO JAJALPA,55000,
423,1/23/23,PL/20449/EXP/ES/2017,SN,HIDROSINA PLUS. S. A. P. I. DE C. V.,MEXICO,TECÁMAC,4,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEXIQUENSE NO. 31,LOS HEROES DE TECÁMAC,55765,
424,1/24/23,PL/549/EXP/ES/2015,8000,PETROMAX. S. A. DE C. V.,JALISCO,TONALÁ,16,6,0,0,0,0.00,0.00,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AUTOPISTA GUADALAJARA-ZAPOTLANEJO S/N,SANTA CRUZ DE LAS HUERTAS,45400,
425,1/24/23,PL/10925/EXP/ES/2015,11651,ESTACIÓN DE SERVICIO PRINCIPAL. S. A. DE C. V.,JALISCO,TLAQUEPAQUE,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. LAZARO CARDENAS NUM. 520,HACIENDAS DE VIDRIO,45580,
426,1/24/23,PL/20967/EXP/ES/2018,13351,REFINERÍA FAOMABIR. S. A. DE C. V.,JALISCO,TLAQUEPAQUE,14,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BATALLA DE CELAYA NO. 3340,RESIDENCIAL EL TAPATÍO,45588,
427,1/25/23,PL/2920/EXP/ES/2015,1521,GASOLINERA JALISCO. S. A. DE C. V.,JALISCO,GUADALAJARA,8,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEZQUITAN NO.500,ARTESANOS,44290,
428,1/25/23,PL/3627/EXP/ES/2015,12556,GASOLINERIA ZEUS. S. A. DE C. V.,JALISCO,GUADALAJARA,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. PLAN DE SAN LUIS NO. 1740,CHAPULTEPEC COUNTRY,44620,
429,1/24/23,PL/6573/EXP/ES/2015,11343,SERVICIO MIRADOR CAMPESTRE. S. A. DE C. V.,GUANAJUATO,LEÓN,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOULEVARD PASEO DE LOS INSURGENTES  NUM. 2550,EL MIRADOR CAMPESTRE,37156,
